Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
l3leaf,DC1-CL1,Ethernet1,spine,DC1-SP1,Ethernet1,True
l3leaf,DC1-CL1,Ethernet2,spine,DC1-SP2,Ethernet1,True
l3leaf,DC1-CL1,Ethernet3,mlag_peer,DC1-CL2,Ethernet3,True
l3leaf,DC1-CL1,Ethernet4,server,Host1,Ethernet1,True
l3leaf,DC1-CL1,Ethernet5,server,Host2,Ethernet1,True
l3leaf,DC1-CL2,Ethernet1,spine,DC1-SP1,Ethernet2,True
l3leaf,DC1-CL2,Ethernet2,spine,DC1-SP2,Ethernet2,True
l3leaf,DC1-CL2,Ethernet3,mlag_peer,DC1-CL1,Ethernet3,True
l3leaf,DC1-CL2,Ethernet4,server,Host1,Ethernet2,True
l3leaf,DC1-CL2,Ethernet5,server,Host2,Ethernet2,True
l3leaf,DC1-CL3,Ethernet1,spine,DC1-SP1,Ethernet3,True
l3leaf,DC1-CL3,Ethernet2,spine,DC1-SP2,Ethernet3,True
l3leaf,DC1-CL3,Ethernet3,mlag_peer,DC1-CL4,Ethernet3,True
l3leaf,DC1-CL3,Ethernet4,server,Host3,Ethernet1,True
l3leaf,DC1-CL3,Ethernet5,server,Host4,Ethernet1,True
l3leaf,DC1-CL4,Ethernet1,spine,DC1-SP1,Ethernet4,True
l3leaf,DC1-CL4,Ethernet2,spine,DC1-SP2,Ethernet4,True
l3leaf,DC1-CL4,Ethernet3,mlag_peer,DC1-CL3,Ethernet3,True
l3leaf,DC1-CL4,Ethernet4,server,Host3,Ethernet2,True
l3leaf,DC1-CL4,Ethernet5,server,Host4,Ethernet2,True
spine,DC1-SP1,Ethernet1,l3leaf,DC1-CL1,Ethernet1,True
spine,DC1-SP1,Ethernet2,l3leaf,DC1-CL2,Ethernet1,True
spine,DC1-SP1,Ethernet3,l3leaf,DC1-CL3,Ethernet1,True
spine,DC1-SP1,Ethernet4,l3leaf,DC1-CL4,Ethernet1,True
spine,DC1-SP2,Ethernet1,l3leaf,DC1-CL1,Ethernet2,True
spine,DC1-SP2,Ethernet2,l3leaf,DC1-CL2,Ethernet2,True
spine,DC1-SP2,Ethernet3,l3leaf,DC1-CL3,Ethernet2,True
spine,DC1-SP2,Ethernet4,l3leaf,DC1-CL4,Ethernet2,True
