Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
l2leaf,hs00bot01a,Ethernet49,firewall,ISMTMGPAN48,Eth1/13,True
l2leaf,hs00bot01a,Ethernet50,firewall,ISMTMGPAN49,Eth1/13,True
l2leaf,hs00bot02a,Ethernet49,firewall,ISMTMGPAN48,Eth1/13,True
l2leaf,hs00bot02a,Ethernet50,firewall,ISMTMGPAN49,Eth1/13,True
l2leaf,hsmdmz100a,Ethernet49,circuits,CSMISP02,ISP#1 Circuit,True
l2leaf,hsmdmz100a,Ethernet51,firewall,ISMPAN98,Eth13,True
l2leaf,hsmdmz100a,Ethernet52,firewall,ISMPAN99,Eth13,True
l2leaf,hsmdmz101a,Ethernet51,firewall,ISMPAN98,Eth14,True
l2leaf,hsmdmz101a,Ethernet52,firewall,ISMPAN99,Eth14,True
l2leaf,hsmvnd01A,Ethernet1/1,firewall,ISMTMGPAN48,Eth1/25,True
l2leaf,hsmvnd01A,Ethernet2/1,firewall,ISMTMGPAN49,Eth1/25,True
l2leaf,hsmwan40a,Ethernet1,firewall,ISMTMGPAN40,Eth1/13,True
l2leaf,hsmwan40a,Ethernet2,firewall,ISMTMGPAN41,Eth1/13,True
l2leaf,hsmwan40a,Ethernet5,firewall,ISMMGTPAN01,Eth1/21,True
l2leaf,hsmwan40a,Ethernet6,firewall,ISMMGTPAN02,Eth1/21,True
l2leaf,hsmwan40a,Ethernet7,firewall,ISMPAN98,Eth1/15,True
l2leaf,hsmwan40a,Ethernet8,firewall,ISMPAN99,Eth1/15,True
l2leaf,hsmwan40a,Ethernet11,router,ISMRR40,Te0/0/5,True
l2leaf,hsmwan40a,Ethernet12,router,ISMRR41,Te0/0/5,True
l2leaf,hsmwan41a,Ethernet1,firewall,ISMTMGPAN40,Eth1/14,True
l2leaf,hsmwan41a,Ethernet2,firewall,ISMTMGPAN41,Eth1/14,True
l2leaf,hsmwan41a,Ethernet5,firewall,ISMMGTPAN01,Eth1/22,True
l2leaf,hsmwan41a,Ethernet6,firewall,ISMMGTPAN02,Eth1/22,True
l2leaf,hsmwan41a,Ethernet7,firewall,ISMPAN98,Eth1/16,True
l2leaf,hsmwan41a,Ethernet8,firewall,ISMPAN99,Eth1/16,True
l2leaf,hsmwan41a,Ethernet11,router,ISMRR40,Te0/0/9,True
l2leaf,hsmwan41a,Ethernet12,router,ISMRR41,Te0/0/9,True
l3leaf,ismcr01a,Ethernet3/1/1,l3_interface,,,True
l3leaf,ismcr01a,Ethernet3/1/1.510,l3_interface,,,True
l3leaf,ismcr01a,Ethernet3/1/1.533,l3_interface,,,True
l3leaf,ismcr01a,Ethernet3/2/1,l3_interface,,,True
l3leaf,ismcr01a,Ethernet3/2/1.510,l3_interface,,,True
l3leaf,ismcr01a,Ethernet3/2/1.533,l3_interface,,,True
l3leaf,ismcr01a,Ethernet3/3/1,l3_interface,,,True
l3leaf,ismcr01a,Ethernet3/3/1.525,l3_interface,,,True
l3leaf,ismcr01a,Ethernet3/3/1.633,l3_interface,,,True
l3leaf,ismcr01a,Ethernet3/4/1,l3_interface,,,True
l3leaf,ismcr01a,Ethernet3/4/1.525,l3_interface,,,True
l3leaf,ismcr01a,Ethernet3/4/1.533,l3_interface,,,True
l3leaf,ismcr01a,Ethernet3/4/1.581,l3_interface,,,True
l3leaf,ismcr01a,Ethernet3/4/1.589,l3_interface,,,True
l3leaf,ismcr01a,Ethernet3/5/1,firewall,ISMTMGPAN40,Ethernet1/41,True
l3leaf,ismcr01a,Ethernet3/48/1,mlag_peer,ismcr02a,Ethernet3/48/1,True
l3leaf,ismcr01a,Ethernet4/1/1,l3_interface,,,True
l3leaf,ismcr01a,Ethernet4/1/1.510,l3_interface,,,True
